Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3,ph_val,fan_state
2024/10/22,12:39:42,24.1,72.0,23.9,73.0,23.5,23.5,23.0,9.15,1
2024/10/22,12:45:42,24.3,72.0,24.1,73.0,23.5,23.5,23.5,9.15,1
2024/10/22,12:51:42,24.5,70.0,24.2,75.0,23.5,23.5,23.5,9.15,1
2024/10/22,12:57:42,24.5,71.0,24.3,74.0,23.5,23.5,23.5,9.18,1
2024/10/22,13:0:42,24.6,71.0,24.3,73.0,23.5,23.5,23.5,9.15,1
2024/10/22,13:10:6,24.6,71.0,24.3,74.0,23.5,23.5,23.5,9.15,1
2024/10/22,13:16:6,24.7,70.0,24.3,74.0,23.5,23.5,23.5,9.17,1
2024/10/22,13:22:6,24.6,71.0,24.3,74.0,23.5,23.5,23.5,9.15,1
2024/10/22,13:25:6,24.6,70.0,24.3,74.0,24.0,23.5,23.5,9.14,1
2024/10/22,13:31:26,24.6,71.0,24.3,74.0,24.0,23.5,23.5,9.14,1
2024/10/22,13:37:26,24.6,70.0,24.4,74.0,24.0,23.5,23.5,9.14,1
2024/10/22,13:43:26,24.5,69.0,24.3,74.0,24.0,23.5,23.5,9.15,1
2024/10/22,13:49:26,24.6,69.0,24.3,73.0,24.0,23.5,23.5,9.13,1
2024/10/22,13:55:26,24.7,70.0,24.4,73.0,24.0,23.5,23.5,9.12,1
2024/10/22,14:1:26,24.9,69.0,24.5,73.0,24.0,23.5,23.5,9.11,1
2024/10/22,14:7:26,24.9,70.0,24.5,73.0,24.0,23.5,23.5,9.11,1
